# Example of a dataset to create a full quality poker deck with less than 3Kb!!!,,,,,,,,
,,,,,,,,
# next line define de 4 icons for poker suit. You can comment it with ## and uncomment next line (only one #) and change icons... You can even play with other names (,,,,,,,,
# :all() = *[@{icon://heart-suit} @{icon://diamond-suit} @{icon://club-suit} @{icon://spade-suit}],,,,,,,,
## :all() = *[@{icon://tomato} @{icon://banana} @{icon://green-apple} @{icon://grapes}],,,,,,,,
,,,,,,,,
# next line define de back of the deck from patterns in wikimedia. You can change index (7) in backpattern to play with other images...,,,,,,,,
# :fig(node) = @{wkmc://File:Russian_playing_card_deck_(face_cards)_designed_by_Adolf_Charlemagne.svg/svg#${node}},,,,,,,,
# :backpattern(i) = @{wkmc://Category:Vintage_pattern_from_The_Practical_Decorator_and_Ornamentist/1000}[${i}],,,,,,,,
bbox_main,text_corner-*,icon_corner-*,main_art-8=~[12x12],main_art-8=~[12x12],main_art-2=~[12x12],main_art-2=~[12x12],{bbox_back @back},back_art-5=:backpattern(7)~a!
{A4 b=-5}.L{g=2 s=poker}.M{},1,:all(),:all()~[30x30]i2,,,,,
,2,:all(),:all()~8,,:all()~2^^,,,
,3,:all(),:all()~2,:all()~8,:all()~2^^,,,
,4,:all(),:all()~7 :all()~9 ,,:all()~1^^ :all()~3^^,,,
,5,:all(),:all()~2,:all()~7 :all()~9 ,:all()~1^^ :all()~3^^,,,
,6,:all(),:all()~1 :all()~3 ,:all()~7 :all()~9 ,:all()~1^^ :all()~3^^,,,
,7,:all(),:all()~5 ,:all()~1 :all()~3 :all()~7 :all()~9 ,:all()~1^^ :all()~3^^,,,
,8,:all(),:all()~7 :all()~9 ,:all()~4[0 5%] :all()~6[0 5%],:all()~1^^ :all()~3^^,:all()~4^^[0 -5%] :all()~6^^[0 -5%],,
,9,:all(),:all()~5 :all()~7 :all()~9 ,:all()~7 :all()~9 ,:all()~1^^ :all()~3^^,:all()~4^^[0 -5%] :all()~6^^[0 -5%],,
,10,:all(),:all()~5 :all()~7 :all()~9 ,:all()~7 :all()~9 ,:all()~1^^ :all()~3^^,:all()~5^^ :all()~4^^[0 -5%] :all()~6^^[0 -5%],,
,J,:all(),:all()~7,*[:fig(g918)~^^ :fig(g1720) :fig(g1264) :fig(g13590)]~[%]5,:all()~3^^,*[:fig(g918)~^^ :fig(g1720) :fig(g1264) :fig(g13590)]~[%]^^,,
,Q,:all(),:all()~7,*[:fig(g11260) :fig(g9864) :fig(g6450)~^^ :fig(g8736)]~[%]8,:all()~3^^,*[:fig(g11260) :fig(g9864) :fig(g6450)~^^ :fig(g8736)]~[%]8^^,,
,K,:all(),:all()~7,*[:fig(g2676) :fig(g4368) :fig(g6984) :fig(g11968)~8]~[%]5,:all()~3^^,*[:fig(g2676) :fig(g4368) :fig(g6984) :fig(g11968)~8]~^^[%]5 ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
# _DM_reset_to = 0,,,,,,,,
